# z  nz0 nz1 nz2 nz3 nz4
1.435000000000000053e+00 1.990114878282038264e-04 5.353181171272276351e-04 2.593786554041251189e-04 2.348781067528269307e-03 1.566622452259931862e+08
1.444999999999999840e+00 1.995356067152249144e-04 5.357140983525915476e-04 2.444769009072615337e-04 2.324273503193327681e-03 1.631746426723624468e+08
1.455000000000000071e+00 2.002429911060055591e-04 5.251683517122836568e-04 2.250003614698806327e-04 2.176255743974356283e-03 1.565288454316494465e+08
1.464999999999999858e+00 1.979853457002097737e-04 4.892100695522439693e-04 2.034357170140296584e-04 1.722507741821304112e-03 1.433530762812706828e+08
1.475000000000000089e+00 1.969184072374298954e-04 4.820540682266302268e-04 1.817123233070780202e-04 1.532207276438894402e-03 1.361470866817123592e+08
1.484999999999999876e+00 1.976455396753640855e-04 4.801909595155480926e-04 1.698397050747973188e-04 1.518341213422214455e-03 1.273695828243260831e+08
1.495000000000000107e+00 1.931020257789633641e-04 4.700424814851318178e-04 1.549649449509643757e-04 1.483901194060181479e-03 1.057971530110292137e+08
1.504999999999999893e+00 1.665459892351709500e-04 3.960676975898822362e-04 1.360938060802553055e-04 1.340404645731138383e-03 7.807558451905709505e+07
1.515000000000000124e+00 1.211987977644857250e-04 2.362197957219973495e-04 1.177212307740535600e-04 8.395281040647735926e-04 6.055727536880216002e+07
1.524999999999999911e+00 9.800620795734204399e-05 1.655294377142977030e-04 1.006359943366376733e-04 6.261089611369750245e-04 5.076273166756056249e+07
1.535000000000000142e+00 9.395085831625209086e-05 1.555984922320518681e-04 9.053217852351897247e-05 6.203854090337436065e-04 4.098409615766492486e+07
1.544999999999999929e+00 9.482217398353345297e-05 1.551292609519917571e-04 8.671619046719541578e-05 6.246897688394374227e-04 3.378640094637320191e+07
1.555000000000000160e+00 1.070815786169802434e-04 1.539537149431518756e-04 8.615609003177333001e-05 6.284027666142448683e-04 3.160375050509347767e+07
1.564999999999999947e+00 1.305826933558520259e-04 1.560430522855945246e-04 8.683920001579385794e-05 6.506275176016086854e-04 3.300590290392829850e+07
1.575000000000000178e+00 1.406585095934914762e-04 1.558503567104994566e-04 8.754396586618817550e-05 6.662735091642591444e-04 3.576174967534800619e+07
1.584999999999999964e+00 1.438035622771214749e-04 1.564423703232072299e-04 8.744733751190653006e-05 6.679221285001641154e-04 3.942271193426498771e+07
1.595000000000000195e+00 1.514780900247859137e-04 1.601473658352676479e-04 8.782296200000743217e-05 6.670286908470816466e-04 4.484074380900549144e+07
1.604999999999999982e+00 1.744620858334803627e-04 1.833128385180909632e-04 8.740868059083693015e-05 6.724781869952868845e-04 4.993065585832106322e+07
1.615000000000000213e+00 2.222248735371734553e-04 2.290383837218438079e-04 8.671829869622169290e-05 6.876090866841862463e-04 5.815823813359051943e+07
